Year	Feb	Aug	Annual
1896	31.9	76.1	53.5
1897	33.2	73.2	53.4
1898	35.8	75.3	54.6
1899	27.9	75.2	53.6
1900	30.3	76.2	53.8
1901	26.3	75.0	52.1
1902	29.7	71.9	52.9
1903	33.2	69.1	52.7
1904	25.4	73.0	50.7
1905	24.8	74.3	53.3
1906	32.8	77.1	54.7
1907	25.9	73.4	52.5
1908	27.5	75.8	55.0
1909	37.7	72.2	53.4
1910	30.0	72.0	53.2
1911	31.3	72.8	53.4
1912	28.8	71.7	52.7
1913	31.3	73.4	55.0
1914	25.4	74.6	52.0
1915	35.9	71.6	53.5
1916	27.9	74.8	52.2
1917	28.3	76.2	50.7
1918	30.4	76.5	53.2
1919	34.9	71.1	53.8
1920	28.5	74.3	52.3
1921	34.0	71.6	54.9
1922	33.6	72.4	53.5
1923	26.2	72.6	52.9
1924	28.9	74.3	51.9
1925	37.9	73.3	53.4
1926	29.2	74.0	51.2
1927	36.4	68.5	53.4
1928	33.0	75.4	53.6
1929	32.9	73.1	54.1
1930	37.0	73.6	54.5
1931	33.9	75.2	55.8
1932	36.1	76.7	55.2
1933	34.1	74.9	54.2
1934	19.9	72.0	53.0
1935	31.2	74.7	53.1
1936	25.7	75.4	53.4
1937	34.8	76.6	54.5
1938	35.4	78.2	55.2
1939	37.0	78.1	54.7
1940	32.9	71.4	51.9
1941	31.1	74.0	54.9
1942	29.7	73.6	54.1
1943	34.6	75.9	53.7
1944	33.2	77.8	54.6
1945	33.9	73.4	54.1
1946	31.7	70.9	55.3
1947	29.3	76.0	53.8
1948	30.7	75.2	54.1
1949	38.6	76.7	56.9
1950	31.6	73.1	53.6
1951	36.2	74.5	55.0
1952	36.2	74.9	55.8
1953	38.4	75.8	57.0
1954	40.1	72.8	54.9
1955	35.0	78.1	54.7
1956	36.6	74.2	53.5
1957	37.3	73.6	55.4
1958	27.4	75.2	52.5
1959	32.1	77.5	55.4
1960	36.3	74.9	54.0
1961	36.7	76.4	55.1
1962	31.8	72.4	53.4
1963	28.3	72.1	53.6
1964	32.9	72.9	54.6
1965	33.9	73.2	54.2
1966	35.1	76.9	55.1
1967	29.2	73.9	53.0
1968	28.9	76.0	54.1
1969	32.6	77.4	54.8
1970	33.0	77.6	54.3
1971	35.1	75.9	55.2
1972	31.4	75.6	53.9
1973	32.5	77.6	56.1
1974	31.7	76.4	54.7
1975	35.8	74.4	54.9
1976	39.9	74.3	53.4
1977	33.5	75.7	54.3
1978	27.2	76.0	53.0
1979	25.5	76.8	55.7
1980	31.4	80.3	55.0
1981	39.3	76.0	55.2
1982	35.3	73.2	54.9
1983	36.4	77.7	56.0
1984	40.6	76.7	55.5
1985	36.6	75.4	55.5
1986	32.0	73.1	55.3
1987	33.2	74.2	55.1
1988	35.0	78.8	54.8
1989	34.5	74.0	54.0
1990	39.8	75.3	57.2
1991	40.0	77.1	57.2
1992	36.4	73.0	53.9
1993	30.8	77.2	55.5
1994	30.6	74.0	55.2
1995	31.6	78.6	55.3
1996	33.9	74.5	53.7
1997	40.0	73.3	54.3
1998	40.6	76.7	57.2
1999	38.9	75.5	56.5
2000	37.3	72.7	53.9
2001	35.9	78.7	56.3
2002	40.6	77.7	56.4
2003	30.1	76.7	53.4
2004	35.0	74.2	54.5
2005	36.5	79.7	55.8
2006	35.7	75.8	56.8
2007	28.2	74.0	55.0
2008	35.8	73.8	55.3
2009	36.7	75.7	54.0
2010	33.1	77.4	56.7
2011	36.0	75.3	56.4
2012	40.9	76.7	57.3
2013	33.9	74.6	55.3
2014	31.6	74.5	54.4
2015	23.9	79.0	56.7
2016	37.7	79.2	57.2
2017	41.6	74.0	56.3
